datetime,open,high,low,close,volume
2026-08-23 05:25:00,2421.26,2424.54,2421.11,2422.43,8943.256
2026-08-23 05:30:00,2422.43,2422.73,2407.01,2413.4,29663.054
2026-08-23 05:35:00,2413.4,2417.19,2411.65,2413.29,4418.782
2026-08-23 05:40:00,2413.28,2415.63,2412.61,2413.47,3940.09
2026-08-23 05:45:00,2413.48,2415.86,2412.81,2413.59,4825.533
2026-08-23 05:50:00,2413.6,2417.47,2412.65,2414.82,3958.526
2026-08-23 05:55:00,2414.81,2415.5,2410.67,2413.17,4176.621
2026-08-23 06:00:00,2413.17,2415.0,2409.54,2414.74,3414.879
2026-08-23 06:05:00,2414.75,2416.12,2413.85,2414.8,3365.538
2026-08-23 06:10:00,2414.79,2415.77,2412.53,2414.47,3699.857
2026-08-23 06:15:00,2414.47,2416.18,2413.32,2416.11,2813.404
2026-08-23 06:20:00,2416.1,2419.37,2416.0,2418.21,4540.41
2026-08-23 06:25:00,2418.22,2419.37,2416.01,2416.7,3414.815
2026-08-23 06:30:00,2416.71,2418.29,2414.33,2414.67,2030.872
2026-08-23 06:35:00,2414.67,2419.99,2414.53,2419.63,2688.672
2026-08-23 06:40:00,2419.63,2421.28,2419.17,2420.34,5035.174
2026-08-23 06:45:00,2420.34,2424.54,2420.0,2424.43,3934.183
2026-08-23 06:50:00,2424.42,2426.22,2422.84,2425.09,5917.278
2026-08-23 06:55:00,2425.09,2425.38,2421.4,2421.4,2697.719
2026-08-23 07:00:00,2421.41,2424.8,2421.4,2422.82,3599.418
2026-08-23 07:05:00,2422.81,2424.1,2422.0,2422.12,1955.037
2026-08-23 07:10:00,2422.12,2422.31,2418.57,2420.18,5280.021
2026-08-23 07:15:00,2420.18,2421.73,2418.35,2420.08,4220.665
2026-08-23 07:20:00,2420.08,2429.25,2419.56,2426.7,19737.362
2026-08-23 07:25:00,2426.68,2428.31,2424.09,2425.86,5523.742
2026-08-23 07:30:00,2425.86,2427.91,2425.2,2426.61,5891.934
2026-08-23 07:35:00,2426.61,2433.48,2425.09,2429.27,17508.04
2026-08-23 07:40:00,2429.26,2430.63,2425.71,2426.39,7867.566
2026-08-23 07:45:00,2426.39,2431.4,2425.54,2430.32,6608.539
2026-08-23 07:50:00,2430.32,2434.68,2429.4,2433.14,14258.002
2026-08-23 07:55:00,2433.14,2434.52,2429.79,2429.95,11217.052
2026-08-23 08:00:00,2429.95,2430.13,2423.59,2424.35,10369.707
2026-08-23 08:05:00,2424.35,2428.0,2423.64,2426.5,5372.196
2026-08-23 08:10:00,2426.49,2429.8,2425.36,2429.23,8207.491
2026-08-23 08:15:00,2429.22,2429.32,2424.8,2426.31,3201.297
2026-08-23 08:20:00,2426.31,2432.45,2426.08,2431.35,12157.674
2026-08-23 08:25:00,2431.34,2431.34,2428.3,2429.22,3010.782
2026-08-23 08:30:00,2429.22,2432.34,2419.04,2424.0,26583.324
2026-08-23 08:35:00,2424.01,2426.2,2422.8,2425.77,5395.286
2026-08-23 08:40:00,2425.77,2426.97,2421.6,2425.57,3601.895
2026-08-23 08:45:00,2425.57,2429.0,2424.78,2425.7,4185.361
2026-08-23 08:50:00,2425.7,2428.9,2424.23,2427.83,4382.542
2026-08-23 08:55:00,2427.83,2427.83,2419.28,2422.33,26959.087
2026-08-23 09:00:00,2422.33,2423.6,2419.78,2419.8,5690.416
2026-08-23 09:05:00,2419.8,2420.38,2417.05,2418.26,9028.508
2026-08-23 09:10:00,2418.26,2419.12,2412.26,2412.6,13199.934
2026-08-23 09:15:00,2412.61,2418.75,2412.4,2415.65,7534.623
2026-08-23 09:20:00,2415.65,2416.35,2405.01,2412.07,24942.698
2026-08-23 09:25:00,2412.08,2415.53,2412.07,2415.14,5571.636
2026-08-23 09:30:00,2415.14,2419.44,2414.31,2418.93,5420.2
2026-08-23 09:35:00,2418.93,2420.0,2416.96,2418.21,4229.122
2026-08-23 09:40:00,2418.21,2419.32,2416.92,2418.05,2940.174
2026-08-23 09:45:00,2418.05,2421.29,2417.17,2419.99,3257.114
2026-08-23 09:50:00,2419.98,2423.37,2415.45,2415.85,12401.137
2026-08-23 09:55:00,2415.85,2417.0,2415.31,2415.98,3133.539
2026-08-23 10:00:00,2415.98,2417.56,2414.36,2415.3,4737.865
2026-08-23 10:05:00,2415.3,2415.57,2412.29,2413.6,4621.17
2026-08-23 10:10:00,2413.59,2417.57,2412.41,2416.32,5363.015
2026-08-23 10:15:00,2416.31,2418.55,2415.0,2416.24,4548.233
2026-08-23 10:20:00,2416.24,2416.25,2411.11,2412.54,7147.012
2026-08-23 10:25:00,2412.54,2414.34,2412.36,2412.37,3198.566
2026-08-23 10:30:00,2412.37,2412.78,2407.69,2410.04,13923.696
2026-08-23 10:35:00,2410.05,2412.19,2409.0,2409.79,5687.589
2026-08-23 10:40:00,2409.78,2410.94,2407.2,2409.25,7076.971
2026-08-23 10:45:00,2409.25,2413.27,2409.12,2412.88,4650.522
2026-08-23 10:50:00,2412.88,2414.13,2411.6,2413.14,2934.348
2026-08-23 10:55:00,2413.14,2413.49,2411.62,2413.19,2936.044
2026-08-23 11:00:00,2413.2,2416.57,2408.39,2408.39,9727.457
2026-08-23 11:05:00,2408.4,2411.63,2400.34,2406.61,41642.927
2026-08-23 11:10:00,2406.61,2414.42,2405.92,2413.68,11226.132
2026-08-23 11:15:00,2413.67,2416.0,2405.38,2405.41,14166.974
2026-08-23 11:20:00,2405.4,2409.4,2402.27,2409.0,12561.154
2026-08-23 11:25:00,2409.0,2411.69,2408.99,2410.0,4792.641
2026-08-23 11:30:00,2410.0,2410.2,2402.81,2404.35,7449.788
2026-08-23 11:35:00,2404.35,2406.13,2400.74,2405.7,9618.274
2026-08-23 11:40:00,2405.7,2406.92,2401.13,2402.15,6652.858
2026-08-23 11:45:00,2402.15,2402.94,2371.2,2375.27,188422.206
2026-08-23 11:50:00,2375.28,2389.99,2374.56,2386.0,49763.687
2026-08-23 11:55:00,2386.0,2387.0,2377.44,2378.24,28671.881
2026-08-23 12:00:00,2378.24,2384.38,2373.0,2377.72,50292.404
2026-08-23 12:05:00,2377.72,2380.31,2362.21,2371.85,64023.677
2026-08-23 12:10:00,2371.84,2377.0,2365.0,2365.79,39034.046
2026-08-23 12:15:00,2365.79,2379.97,2355.38,2379.48,86769.001
2026-08-23 12:20:00,2379.47,2384.6,2375.5,2383.76,42620.014
2026-08-23 12:25:00,2383.76,2386.92,2379.68,2379.88,26358.143
2026-08-23 12:30:00,2379.88,2384.28,2378.93,2380.6,13955.685
2026-08-23 12:35:00,2380.59,2382.89,2372.36,2375.31,27853.822
2026-08-23 12:40:00,2375.31,2379.39,2373.14,2376.23,11933.253
2026-08-23 12:45:00,2376.23,2378.29,2374.44,2375.9,7679.983
2026-08-23 12:50:00,2375.9,2377.85,2372.52,2376.23,9036.235
2026-08-23 12:55:00,2376.23,2376.93,2372.6,2372.6,5132.345
2026-08-23 13:00:00,2372.61,2376.0,2369.14,2375.1,16489.87
2026-08-23 13:05:00,2375.1,2376.23,2369.64,2370.52,9628.235
2026-08-23 13:10:00,2370.52,2381.42,2369.34,2379.24,27070.674
2026-08-23 13:15:00,2379.24,2389.88,2378.25,2388.24,35393.84
2026-08-23 13:20:00,2388.23,2393.34,2385.63,2388.95,33473.503
2026-08-23 13:25:00,2388.95,2390.66,2385.75,2389.86,10949.758
2026-08-23 13:30:00,2389.85,2397.37,2389.42,2393.26,22179.299
2026-08-23 13:35:00,2393.27,2393.96,2387.0,2389.08,11196.505
2026-08-23 13:40:00,2389.08,2393.5,2389.0,2391.67,6627.301
2026-08-23 13:45:00,2391.67,2392.85,2388.25,2389.76,6839.282
2026-08-23 13:50:00,2389.76,2390.26,2386.69,2387.49,8684.893
2026-08-23 13:55:00,2387.49,2389.84,2385.49,2389.35,9650.415
2026-08-23 14:00:00,2389.34,2390.11,2387.06,2389.6,8839.383
2026-08-23 14:05:00,2389.61,2394.36,2389.18,2391.98,7127.937
2026-08-23 14:10:00,2391.98,2396.48,2391.63,2394.09,8541.318
2026-08-23 14:15:00,2394.09,2396.96,2393.75,2395.88,6001.316
2026-08-23 14:20:00,2395.88,2395.88,2391.42,2392.98,5393.491
2026-08-23 14:25:00,2392.99,2395.18,2391.67,2392.49,6237.708
2026-08-23 14:30:00,2392.5,2392.57,2389.02,2389.08,5331.896
2026-08-23 14:35:00,2389.07,2390.36,2387.61,2390.35,6441.212
2026-08-23 14:40:00,2390.35,2390.61,2388.51,2389.08,5170.489
2026-08-23 14:45:00,2389.09,2390.98,2386.67,2390.24,7330.364
2026-08-23 14:50:00,2390.24,2392.97,2388.88,2390.0,4487.924
2026-08-23 14:55:00,2390.0,2390.16,2386.0,2388.29,7063.784
2026-08-23 15:00:00,2388.3,2389.94,2386.0,2389.93,7340.473
2026-08-23 15:05:00,2389.93,2410.0,2389.15,2407.77,51742.606
2026-08-23 15:10:00,2407.77,2414.0,2404.27,2406.58,51574.2
2026-08-23 15:15:00,2406.58,2410.75,2404.84,2407.35,14714.271
2026-08-23 15:20:00,2407.34,2407.88,2404.94,2406.5,8278.618
2026-08-23 15:25:00,2406.5,2407.47,2404.8,2406.58,6096.104
2026-08-23 15:30:00,2406.57,2418.68,2406.57,2414.29,38798.364
2026-08-23 15:35:00,2414.29,2422.95,2411.64,2417.83,30839.481
2026-08-23 15:40:00,2417.82,2428.29,2416.62,2419.37,34677.992
2026-08-23 15:45:00,2419.38,2421.48,2414.27,2414.78,14988.353
2026-08-23 15:50:00,2414.77,2417.4,2413.67,2415.26,7464.555
2026-08-23 15:55:00,2415.25,2415.74,2410.38,2412.25,12979.084
2026-08-23 16:00:00,2412.24,2416.07,2410.22,2414.76,7704.559
2026-08-23 16:05:00,2414.75,2415.68,2412.32,2412.93,4529.337
2026-08-23 16:10:00,2412.93,2413.64,2411.3,2412.59,3221.405
2026-08-23 16:15:00,2412.59,2413.52,2410.5,2411.72,5425.647
2026-08-23 16:20:00,2411.72,2412.0,2406.89,2408.14,15060.374
2026-08-23 16:25:00,2408.14,2412.11,2407.45,2410.57,6908.318
2026-08-23 16:30:00,2410.56,2410.57,2407.0,2407.85,4919.073
2026-08-23 16:35:00,2407.85,2409.19,2402.85,2409.19,14120.29
2026-08-23 16:40:00,2409.2,2413.7,2409.2,2411.83,10561.911
2026-08-23 16:45:00,2411.83,2415.0,2409.51,2413.89,8597.911
2026-08-23 16:50:00,2413.88,2415.6,2413.26,2413.63,7109.94
2026-08-23 16:55:00,2413.63,2414.13,2410.9,2410.91,3289.523
2026-08-23 17:00:00,2410.9,2414.28,2410.19,2413.72,5079.729
2026-08-23 17:05:00,2413.71,2417.34,2413.71,2414.19,12214.69
2026-08-23 17:10:00,2414.19,2414.9,2411.81,2413.99,4263.278
2026-08-23 17:15:00,2414.0,2415.61,2413.99,2414.67,3327.866
2026-08-23 17:20:00,2414.66,2420.52,2414.56,2416.52,23673.188
2026-08-23 17:25:00,2416.53,2417.97,2412.76,2413.4,7849.249
2026-08-23 17:30:00,2413.4,2417.45,2412.29,2417.14,6329.134
2026-08-23 17:35:00,2417.14,2417.98,2415.4,2415.62,8313.731
