period,entry_time,entry_bar,symbol,direction,entry_price,tp,sl,notional,score,consensus,exit_time,exit_price,exit_reason,net_pnl,ret_pct,capital_after,split
IN_SAMPLE,2026-06-07 08:10:00,16848,BTCUSDT,-1,61276.3,60724.8133,61582.681500000006,4798.641363254921,-1.2735568072360475,6,2026-06-07 08:15:00,61582.681500000006,STOP_LOSS,-28.311984043204284,-0.5000000000000051,4770.3293792117165,IS_70
IN_SAMPLE,2026-06-07 15:55:00,16941,BTCUSDT,-1,62823.0,62257.593,63137.115,4770.3293792117165,-1.3152555941571173,6,2026-06-07 18:55:00,62598.8,TIME_EXPIRE,12.73084832765161,0.35687566655523784,4783.0602275393685,IS_70
IN_SAMPLE,2026-06-07 21:55:00,17013,BTCUSDT,-1,61872.0,61315.152,62181.36,4783.0602275393685,-1.2920196554059862,6,2026-06-07 22:50:00,62181.36,STOP_LOSS,-28.220055342482322,-0.500000000000001,4754.840172196886,IS_70
IN_SAMPLE,2026-06-08 19:40:00,17274,BTCUSDT,-1,63609.8,63019.16342857143,63937.931428571435,4608.73915220787,-1.2572650007080899,6,2026-06-08 19:55:00,63937.931428571435,STOP_LOSS,-27.922066097971726,-0.5158504327500362,4726.918106098914,IS_70
IN_SAMPLE,2026-06-09 19:10:00,17556,ETHUSDT,1,1680.7,1695.8263,1672.2965000000002,4726.918106098914,1.3127875880505213,6,2026-06-09 19:45:00,1672.2965000000002,STOP_LOSS,-27.888816825983294,-0.49999999999999367,4699.02928927293,IS_70
IN_SAMPLE,2026-06-13 20:40:00,18726,SOLUSDT,1,68.11,68.72299,67.76945,4699.02928927293,1.286387007182474,6,2026-06-13 23:40:00,68.03,TIME_EXPIRE,-9.748467766039756,-0.11745705476434928,4689.280821506891,IS_70
IN_SAMPLE,2026-06-16 15:40:00,19530,BTCUSDT,-1,66583.4,65984.1494,66916.317,4689.280821506891,-1.2560760785998846,6,2026-06-16 15:50:00,66916.317,STOP_LOSS,-27.66675684689075,-0.500000000000002,4661.61406466,IS_70
IN_SAMPLE,2026-06-16 19:10:00,19572,ETHUSDT,1,1808.59,1824.8673099999999,1799.54705,4661.61406466,1.3375685771388734,6,2026-06-16 19:30:00,1824.8673099999999,TAKE_PROFIT,37.759073923745845,0.8999999999999968,4699.3731385837455,IS_70
IN_SAMPLE,2026-06-17 12:40:00,19782,BTCUSDT,-1,65879.0,65286.089,66208.395,4699.3731385837455,-1.2865812394713565,6,2026-06-17 14:50:00,65286.089,TAKE_PROFIT,38.06492242252834,0.9000000000000001,4737.4380610062735,IS_70
IN_SAMPLE,2026-06-20 10:25:00,20619,SOLUSDT,1,69.94,70.56945999999999,69.5903,4737.4380610062735,1.257357856563168,6,2026-06-20 11:35:00,70.56945999999999,TAKE_PROFIT,38.37324829415045,0.8999999999999923,4775.811309300424,IS_70
